trace,states,actions,outcome,outcome_name,reward,n_transitions
0,0->2->6->7,"classify,detailed_response,check_satisfaction",7,resolved,10.0,3
1,0->2->6->7,"classify,detailed_response,check_satisfaction",7,resolved,10.0,3
2,0->2->6->7,"classify,detailed_response,check_satisfaction",7,resolved,10.0,3
3,0->2->6->11,"classify,brief_response,check_satisfaction",11,abandoned,0.0,3
4,0->1->4->10,"classify,thorough_screen,emergency_referral",10,emergency,12.0,3
5,0->1->4->10,"classify,thorough_screen,emergency_referral",10,emergency,12.0,3
6,0->11,classify,11,abandoned,0.0,1
7,0->2->6->7,"classify,brief_response,check_satisfaction",7,resolved,10.0,3
8,0->2->6->8,"classify,brief_response,check_satisfaction",8,escalated_nurse,6.0,3
9,0->1->4->10,"classify,quick_screen,emergency_referral",10,emergency,12.0,3
10,0->2->6->7,"classify,detailed_response,check_satisfaction",7,resolved,10.0,3
11,0->2->6->11,"classify,detailed_response,check_satisfaction",11,abandoned,0.0,3
12,0->3->7,"classify,auto_process",7,resolved,10.0,2
13,0->3->7,"classify,auto_process",7,resolved,10.0,2
14,0->2->6->8,"classify,detailed_response,check_satisfaction",8,escalated_nurse,6.0,3
15,0->1->11,"classify,thorough_screen",11,abandoned,0.0,2
16,0->2->11,"classify,brief_response",11,abandoned,0.0,2
17,0->1->11,"classify,quick_screen",11,abandoned,0.0,2
18,0->2->6->8,"classify,detailed_response,check_satisfaction",8,escalated_nurse,6.0,3
19,0->1->5->8,"classify,thorough_screen,offer_nurse",8,escalated_nurse,6.0,3
20,0->2->6->8,"classify,detailed_response,check_satisfaction",8,escalated_nurse,6.0,3
21,0->2->6->7,"classify,detailed_response,check_satisfaction",7,resolved,10.0,3
22,0->2->11,"classify,brief_response",11,abandoned,0.0,2
23,0->2->6->8,"classify,brief_response,check_satisfaction",8,escalated_nurse,6.0,3
24,0->2->6->8,"classify,detailed_response,check_satisfaction",8,escalated_nurse,6.0,3
25,0->2->6->8,"classify,brief_response,check_satisfaction",8,escalated_nurse,6.0,3
26,0->1->11,"classify,thorough_screen",11,abandoned,0.0,2
27,0->3->9,"classify,auto_process",9,escalated_admin,5.0,2
28,0->2->6->7,"classify,detailed_response,check_satisfaction",7,resolved,10.0,3
29,0->3->11,"classify,auto_process",11,abandoned,0.0,2
30,0->2->6->7,"classify,brief_response,check_satisfaction",7,resolved,10.0,3
31,0->3->9,"classify,auto_process",9,escalated_admin,5.0,2
32,0->3->9,"classify,transfer_to_admin",9,escalated_admin,5.0,2
33,0->2->6->8,"classify,detailed_response,check_satisfaction",8,escalated_nurse,6.0,3
34,0->3->11,"classify,auto_process",11,abandoned,0.0,2
35,0->1->4->8,"classify,quick_screen,offer_nurse",8,escalated_nurse,6.0,3
36,0->11,classify,11,abandoned,0.0,1
37,0->3->9,"classify,transfer_to_admin",9,escalated_admin,5.0,2
38,0->2->6->8,"classify,detailed_response,check_satisfaction",8,escalated_nurse,6.0,3
39,0->1->5->8,"classify,thorough_screen,offer_nurse",8,escalated_nurse,6.0,3
40,0->3->9,"classify,transfer_to_admin",9,escalated_admin,5.0,2
41,0->1->5->8,"classify,thorough_screen,offer_nurse",8,escalated_nurse,6.0,3
42,0->1->4->10,"classify,thorough_screen,emergency_referral",10,emergency,12.0,3
43,0->2->11,"classify,brief_response",11,abandoned,0.0,2
44,0->1->5->8,"classify,quick_screen,offer_nurse",8,escalated_nurse,6.0,3
45,0->2->6->8,"classify,detailed_response,check_satisfaction",8,escalated_nurse,6.0,3
46,0->2->6->11,"classify,brief_response,check_satisfaction",11,abandoned,0.0,3
47,0->1->5->8,"classify,quick_screen,offer_nurse",8,escalated_nurse,6.0,3
